iter	Passed	Remaining
578	1417	1030
579	1419	1027
580	1421	1025
581	1423	1022
582	1424	1018
583	1427	1016
584	1429	1013
585	1430	1010
586	1432	1008
587	1434	1004
588	1435	1001
589	1437	998
590	1439	996
591	1441	993
592	1443	990
593	1446	988
594	1448	985
595	1450	982
596	1452	980
597	1454	977
598	1458	976
599	1460	973
600	1463	971
601	1465	969
602	1467	966
603	1472	965
604	1475	963
605	1478	961
606	1483	960
607	1487	958
608	1491	957
609	1494	955
610	1496	952
611	1499	950
612	1502	948
613	1504	945
614	1507	943
615	1509	941
616	1512	938
617	1515	936
618	1518	934
619	1520	931
620	1522	929
621	1524	926
622	1526	923
623	1529	921
624	1532	919
625	1534	916
626	1536	914
627	1538	911
628	1540	908
629	1543	906
630	1547	904
631	1549	902
632	1552	899
633	1553	896
634	1555	894
635	1559	892
636	1562	890
637	1564	887
638	1566	885
639	1568	882
640	1570	879
641	1571	876
642	1575	874
643	1579	872
644	1581	870
645	1583	867
646	1585	865
647	1590	863
648	1592	861
649	1594	858
650	1597	856
651	1599	853
652	1601	850
653	1604	848
654	1606	846
655	1608	843
656	1609	840
657	1611	837
658	1613	834
659	1615	831
660	1617	829
661	1618	826
662	1620	823
663	1623	821
664	1625	818
665	1627	816
666	1630	813
667	1631	811
668	1633	808
669	1634	805
670	1635	802
671	1637	799
672	1639	796
673	1641	794
674	1644	791
675	1648	789
676	1650	787
677	1652	784
678	1654	782
679	1656	779
680	1658	776
681	1660	774
682	1663	771
683	1665	769
684	1666	766
685	1668	763
686	1670	760
687	1671	758
688	1674	755
689	1676	753
690	1678	750
691	1679	747
692	1681	744
693	1682	741
694	1684	739
695	1685	736
696	1686	733
697	1689	730
698	1690	728
699	1692	725
700	1693	722
701	1694	719
702	1696	716
703	1698	714
704	1699	711
705	1701	708
706	1703	706
707	1705	703
708	1707	700
709	1709	698
710	1711	695
711	1713	692
712	1714	690
713	1715	687
714	1717	684
715	1719	682
716	1721	679
717	1723	676
718	1725	674
719	1726	671
720	1728	668
721	1729	666
722	1731	663
723	1733	660
724	1735	658
725	1736	655
726	1739	653
727	1740	650
728	1741	647
729	1743	644
730	1746	642
731	1748	639
732	1749	637
733	1751	634
734	1752	632
735	1754	629
736	1757	627
737	1760	625
738	1763	622
739	1764	619
740	1765	617
741	1766	614
742	1768	611
743	1769	608
744	1771	606
745	1772	603
746	1773	600
747	1776	598
748	1777	595
749	1778	592
750	1779	590
751	1782	587
752	1783	585
753	1784	582
754	1786	579
755	1788	577
756	1790	574
757	1792	572
758	1794	569
759	1795	566
760	1796	564
761	1797	561
762	1798	558
763	1800	556
764	1801	553
765	1803	550
766	1804	548
767	1807	546
768	1809	543
769	1811	541
770	1813	538
771	1815	536
772	1816	533
773	1818	531
774	1821	528
775	1822	526
776	1825	523
777	1827	521
778	1829	518
779	1830	516
780	1832	513
781	1834	511
782	1836	508
783	1837	506
784	1840	503
785	1842	501
786	1844	499
787	1847	496
788	1849	494
789	1850	491
790	1851	489
791	1852	486
792	1855	484
793	1857	481
794	1859	479
795	1861	477
796	1864	474
797	1865	472
798	1867	469
799	1869	467
800	1870	464
801	1872	462
802	1873	459
803	1876	457
804	1877	454
805	1879	452
806	1881	449
807	1882	447
808	1884	444
809	1885	442
810	1887	439
811	1888	437
812	1890	434
813	1892	432
814	1893	429
815	1895	427
816	1897	424
817	1899	422
818	1900	420
819	1902	417
820	1903	415
821	1906	412
822	1908	410
823	1910	407
824	1911	405
825	1912	402
826	1914	400
827	1915	397
828	1916	395
829	1918	392
830	1920	390
831	1922	388
832	1923	385
833	1924	383
834	1926	380
835	1927	378
836	1928	375
837	1930	373
838	1931	370
839	1932	368
840	1934	365
841	1936	363
842	1938	360
843	1939	358
844	1941	356
845	1942	353
846	1943	351
847	1945	348
848	1946	346
849	1948	343
850	1949	341
851	1951	338
852	1952	336
853	1955	334
854	1957	331
855	1959	329
856	1961	327
857	1964	325
858	1966	322
859	1967	320
860	1969	317
861	1984	317
862	1985	315
863	1987	312
864	1989	310
865	1991	308
866	1992	305
867	1995	303
868	1997	301
869	1999	298
870	2001	296
871	2004	294
872	2005	291
873	2007	289
874	2009	287
875	2011	284
